heavy_threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,light_model,heavy_model,light_recall_target,light_threshold,routed_rate
0.27685780999615006,0.24042343231362698,0.864516129032258,0.37621955499403387,77014,8467,420,2680,11147,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.27323826464573125,0.2371726822363765,0.8648387096774194,0.3722577061927242,76858,8623,419,2681,11304,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2693336374986552,0.23409824622633277,0.8654838709677419,0.3685186456974109,76703,8778,417,2683,11461,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.26585899567511795,0.23093475641246342,0.8654838709677419,0.3645875798342165,76546,8935,417,2683,11618,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.26231928029115,0.2278556263269639,0.8654838709677419,0.3607394957983193,76389,9092,417,2683,11775,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2585034742062828,0.22502514247401945,0.8661290322580645,0.35723789249600857,76234,9247,415,2685,11932,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.254818800347823,0.22226817768219043,0.8667741935483871,0.35380867733228,76079,9402,413,2687,12089,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.25176654314109376,0.2194185856606239,0.8667741935483871,0.3501889743255571,75922,9559,413,2687,12246,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.24844741002104265,0.21672176086430703,0.8670967741935484,0.3467715925949817,75766,9715,412,2688,12403,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2451699401750434,0.2143312101910828,0.8683870967741936,0.34380587484035763,75613,9868,408,2692,12560,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.24164529947725757,0.2117637807659039,0.8687096774193548,0.34051969400012644,75457,10024,407,2693,12717,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2386885523505229,0.20933664750660244,0.8693548387096774,0.3374233128834356,75302,10179,405,2695,12874,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.23546040629100054,0.20689125930473487,0.8696774193548387,0.3342632198871737,75146,10335,404,2696,13031,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.23246471480611536,0.2045799211404307,0.8703225806451613,0.33128683693516703,74991,10490,402,2698,13188,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.22916834364678465,0.20232296740352193,0.8709677419354839,0.32836728488902406,74836,10645,400,2700,13345,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.22632785471223926,0.20004443786105763,0.8712903225806452,0.32538248403806774,74680,10801,399,2701,13502,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2236138429956831,0.19781828830807527,0.8716129032258064,0.32245360701712517,74524,10957,398,2702,13659,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.22056665892872687,0.19571511291256513,0.8722580645161291,0.3196973279735162,74369,11112,396,2704,13816,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.21750171110117167,0.19358763329277892,0.8725806451612903,0.31687459731740175,74213,11268,395,2705,13973,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2146797468565977,0.19150743099787687,0.8729032258064516,0.31410330818340104,74057,11424,394,2706,14130,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2121030028334836,0.18954294113529782,0.8735483870967742,0.31149709553114396,73902,11579,392,2708,14287,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.20926511810899062,0.1876211575740792,0.8741935483870967,0.30893752849977196,73747,11734,390,2710,14444,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.20694413894577102,0.18567221423190192,0.8745161290322581,0.3063103779447489,73591,11890,389,2711,14601,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.20418658783932497,0.1839002574874644,0.8754838709677419,0.3039534102363087,73437,12044,386,2714,14758,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
