threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.019112706184387207,0.07064109690568834,0.9838709677419355,0.13181778891866194,45355,40126,50,3050,43176,0.48741829511972096,xgb_d8_sqrt_weight,XGBoost
0.01894359104335308,0.07030277892990461,0.9841935483870968,0.13123145081508886,45134,40347,49,3051,43398,0.48992447590341043,xgb_d8_sqrt_weight,XGBoost
0.018772635608911514,0.0699924344895573,0.9848387096774194,0.13069629058841156,44915,40566,47,3053,43619,0.4924193675844707,xgb_d8_sqrt_weight,XGBoost
0.018614955246448517,0.06963959854014598,0.9848387096774194,0.13008095440988496,44694,40787,47,3053,43840,0.494914259265531,xgb_d8_sqrt_weight,XGBoost
0.018447667360305786,0.0692903020812056,0.9848387096774194,0.12947138525476556,44473,41008,47,3053,44061,0.49740915094659127,xgb_d8_sqrt_weight,XGBoost
0.018294475972652435,0.06894604909554888,0.9848387096774194,0.12887022224098268,44253,41228,47,3053,44281,0.49989275352502227,xgb_d8_sqrt_weight,XGBoost
0.018125738948583603,0.06860211671123295,0.9848387096774194,0.12826922672940783,44031,41450,47,3053,44503,0.5023989343087119,xgb_d8_sqrt_weight,XGBoost
0.017992086708545685,0.06828548430372954,0.9851612903225806,0.12771830043492804,43811,41670,46,3054,44724,0.5048938259897721,xgb_d8_sqrt_weight,XGBoost
0.017833882942795753,0.0679704534330085,0.9854838709677419,0.127169795612538,43590,41891,45,3055,44946,0.5074000067734615,xgb_d8_sqrt_weight,XGBoost
0.017697487026453018,0.06763787721123829,0.9854838709677419,0.12658752356682618,43369,42112,45,3055,45167,0.5098948984545218,xgb_d8_sqrt_weight,XGBoost
0.017539391294121742,0.06730853970212392,0.9854838709677419,0.1260105593136446,43148,42333,45,3055,45388,0.5123897901355822,xgb_d8_sqrt_weight,XGBoost
0.017391368746757507,0.0669999123037797,0.9858064516129033,0.1254721629167351,42925,42556,44,3056,45612,0.5149185491245301,xgb_d8_sqrt_weight,XGBoost
0.01724867708981037,0.0666768485588986,0.9858064516129033,0.12490548300737742,42704,42777,44,3056,45833,0.5174134408055904,xgb_d8_sqrt_weight,XGBoost
0.017101943492889404,0.06635544457713603,0.9858064516129033,0.12434136913843963,42482,42999,44,3056,46055,0.5199196215892798,xgb_d8_sqrt_weight,XGBoost
0.016935938969254494,0.06605730584727085,0.9861290322580645,0.12382032484102232,42260,43221,43,3057,46278,0.5224370914755986,xgb_d8_sqrt_weight,XGBoost
0.016784530133008957,0.06578494623655914,0.9867741935483871,0.12334677419354839,42040,43441,41,3059,46500,0.5249432722592882,xgb_d8_sqrt_weight,XGBoost
0.016652308404445648,0.06547096718960684,0.9867741935483871,0.1227946932139775,41817,43664,41,3059,46723,0.5274607421456069,xgb_d8_sqrt_weight,XGBoost
0.016519274562597275,0.06522248492981447,0.987741935483871,0.12236497692169361,41596,43885,38,3062,46947,0.5299895011345548,xgb_d8_sqrt_weight,XGBoost
